Station Name,Street Address,City,State,Zip Code,Connector1,Connector2,Connector3,Connector4,Geocode Status,Latitude,Longitude,ID
Holiday Inn Alexandria Downtown - Tesla,701 4th St,Alexandria,LA,71301,,,8,,200-9,31.31265,-92.44678,76761
The Herrington Inn and Spa - Tesla,15 S River Ln,Geneva,IL,60134,,1,,,200-8,41.887251,-88.303796,71155
Best Western Casino Inn - Tesla,2466 Toomey Rd,Vinton,LA,70668,,2,,,200-9,30.151729,-93.636295,74374
Hyatt Regency - Tesla,9300 Bryn Mawr Ave,Rosemont,IL,60018,,2,,,200-8,41.980677,-87.857943,75253
Wayfarer Lodgings,1912 Scenic Hwy,Frankfort,MI,49635,,2,,,200-9,44.606589,-86.224041,71704
The Ranch at Rock Creek - Tesla,79 Carriage House Ln,Philipsburg,MT,59858,,1,,,200-9,46.265012,-113.508283,76353
City of Red Lodge - Tesla,305 N Oakes Ave,Red Lodge,MT,59068,,2,,,200-8,45.190376,-109.247454,77983
Clark's Inn and Restaurant - Tesla,114 Bradford Blvd,Santee,SC,29142,,,6,,200-8,33.486516,-80.474952,53983
Billings Big Horn Resort - Tesla,1801 Majestic Ln,Billings,MT,59102,,,4,,200-9,45.734599,-108.603683,62739
Litchfield Beach and Golf Resort,14276 Ocean Hwy,Pawleys Island,SC,29585,,3,,,200-9,33.483323,-79.095594,71713
Rushmore Mall - Tesla,2200 N Maple Ave,Rapid City,SD,57701,,,4,,200-9,44.106757,-103.212037,53696
Chattanooga Metropolitan Airport - Tesla,1001 Airport Rd,Chattanooga,TN,37421,,,6,,200-8,35.037996,-85.195517,63353
Best Western Travel Inn - Tesla,316 E St George Blvd,St. George,UT,84770,,1,,,200-9,37.109254,-113.576247,71336
Hotel Pak City - Tesla,2001 Park Ave,Park City,UT,84060,,1,,,200-9,40.662325,-111.51327,71340
The Westin - Tesla,6631 W Broad St,Richmond,VA,23230,,3,,,200-9,37.604492,-77.517395,75281
ABB Inc,16250 W Glendale Dr,New Berlin,WI,53151,,,1,,200-9,42.99948,-88.11714,49410
Glen Allen Supercharger - Tesla,9950 Brook Rd,Glen Allen,VA,23059,,,8,,200-9,37.669145,-77.461563,53472
Roesch Ford,333 W Grand Ave,Bensenville,IL,60106,,2,,,200-9,41.931594,-87.951098,63612
Western Illinois University - Spencer Recreation Center,1 University Cir,Macomb,IL,61455,,1,,,200-8,40.462554,-90.681732,66818
Sheraton Albuquerque Uptown,2600 Louisiana Blvd,Albuquerque,NM,87110,,2,,,200-8,35.110238,-106.568755,72305
Antietam Overlook Farm,4812 Porterstown Rd,Keedysville,MD,21756,,2,,,200-9,39.445168,-77.705318,72308
Brampton Bed and Breakfast Inn,25227 Chestertown Rd,Chestertown,MD,21620,,2,,,200-9,39.212967,-76.095106,72309
Chanceford Hall Bed and Breakfast,209 W Federal St,Snow Hill,MD,21863,,2,,,200-9,38.172715,-75.396135,72311
Hyatt Regency Baltimore,300 Light St,Baltimore,MD,21202,,5,,,200-8,39.284966,-76.613389,72314
Lake Pointe Inn,174 Lake Pointe Dr,McHenry,MD,21541,,2,,,200-9,39.556713,-79.357487,72315
The Cornucopia Cafe,146 Casselman Rd,Grantsville,MD,21536,,2,,,200-9,39.696396,-79.141189,72318
21c Hotel,609 Walnut St,Cincinnati,OH,45202,,3,,,200-9,39.103113,-84.511944,67251
FivePine Lodge and Spa - Tesla,1021 E Desperado Trail,Sisters,OR,97759,,2,,,200-9,44.285638,-121.536449,67262
Glenlaurel,14940 Mt Olive Rd,Rockbridge,OH,43149,,2,,,200-9,39.52092,-82.56044,68856
Holiday Inn - Tesla,919 Kruse Way,Springfield,OR,97477,,,8,,200-8,44.08263,-123.039638,53459
Double Tree - Tesla,651 N Winstead Ave,Rocky Mount,NC,27804,,,8,,200-8,35.974133,-77.848201,53886
Tesla Service - Tesla,7 Aerial Way,Syosset,NY,11791,,2,4,,200-9,40.800044,-73.515115,60106
Hilton Netherland Plaza - Tesla,35 W 5th St,Cincinnati,OH,45202,,2,,,200-9,39.100777,-84.513825,67253
Tesla Service Center,1641 Westgate Cir,Nashville,TN,37027,,1,6,,200-9,35.969307,-86.804061,65513
Hampton Inn - Tesla,2145 W Main St,Tremonton,UT,84337,,,6,,200-8,41.710934,-112.197765,67220
Panera Bread - Tesla,3260 Niles Rd,St. Joseph,MI,49085,,,8,,200-9,42.056579,-86.457082,53692
Best Western Plus Canyonlands - Tesla,16 S Main St,Moab,UT,84532,,,4,,200-9,38.572799,-109.551637,60098
East Towne Mall - Tesla,89 E Towne Mall,Madison,WI,53704,,,3,,200-9,43.125607,-89.304614,60111
Centralia - Tesla,1200 Lum Rd,Centralia,WA,98531,,,10,,200-9,46.72984,-122.977335,52665
Safford's Bay View Inn,2011 Woodland Ave,Petoskey,MI,49770,,2,,,200-9,45.38627,-84.92804,71702
Holiday Inn Oceanfront,6600 Coastal Hwy,Ocean City,MD,21842,,6,,,200-9,38.388449,-75.064118,72313
Pearmund Cellars,6190 Georgetown Rd,Broad Run,VA,20137,,2,,,200-9,38.784327,-77.739199,66424
The Village Lodge at Mammoth - Tesla,1111 Forest Trail,Mammoth Lakes,CA,93546,,4,,,200-9,37.651122,-118.986204,70418
Cutter Aviation Albuquerque - Tesla,2502 Clark Carr Loop SE,Albuquerque,NM,87106,,2,,,200-8,35.036862,-106.624681,72302
Albemarle Inn,86 Edgemont Rd,Asheville,NC,28801,,3,,,200-9,35.614681,-82.541903,70632
Tail of the Dragon - Tesla,17555 Tapoco Rd,Robbinsville,NC,28771,,1,,,200-8,35.363616,-83.836153,72154
Best Western - Tesla,8400 Sunset Blvd,West Hollywood,CA,90069,,2,,,200-9,34.095078,-118.372589,68918
Cavallo Point Lodge - Tesla,601 Murray Ave,Sausalito,CA,94965,,2,,,200-8,37.834593,-122.479529,68931
Cedar Glen Lodge,6589 N Lake Blvd,Tahoe Vista,CA,96148,,2,,,200-9,39.241679,-120.056604,68932
Hyatt Westlake Plaza - Tesla,880 S Westlake Blvd,Westlake Village,CA,91361,,2,,,200-9,34.155251,-118.825327,68989
Best Western Plus Evergreen Inn and Suites,32124 25th Ave S,Federal Way,WA,98003,,3,,,200-9,47.313655,-122.300511,71773
Hyatt Regency Lake Tahoe - Tesla,111 Country Club Dr,Incline Village,NV,89451,,3,,,200-9,39.24069,-119.94302,72261
The Smith Center for the Performing Arts - Tesla,361 Symphony Park Ave,Las Vegas,NV,89106,,2,,,200-9,36.169152,-115.154312,72272
George Washington Inn,939 Finn Hall Rd,Port Angeles,WA,98362,,2,,,200-8,48.112727,-123.255602,71781
European Collision Repair - Tesla,1934 Highway 85,Jonesboro,GA,30238,,1,,,200-8,33.487633,-84.433018,72062
Partridge Inn,2110 Walton Way,Augusta,GA,30904,,3,,,200-9,33.475079,-82.010109,72071
The Inn at Serenbe,10950 Hutchesons Ferry Rd,Chatt Hills,GA,30268,,2,,,200-9,33.528603,-84.744126,72074
The Candlelight Inn,2310 Central Ave,North Wildwood,NJ,8260,,2,,,200-9,38.994606,-74.807437,72118
