State,Zip Code,Returns Filed,AGI
PA,17547,3780,205783
PA,17545,10900,747079
PA,17543,21730,1820895
PA,17540,4950,276524
PA,17538,3180,233213
PA,17536,1190,66269
PA,17535,1180,55970
PA,17532,1580,89248
PA,17529,1820,104143
PA,17527,3010,167201
PA,17522,16190,879284
PA,17520,2500,141001
PA,17519,2790,184986
PA,17518,540,30557
PA,17517,7520,459266
PA,17516,2340,142384
PA,17512,8680,404440
PA,17509,1950,106487
PA,17508,560,33602
PA,17505,830,46193
PA,17502,1340,90173
PA,17501,2350,124385
PA,17408,12120,715926
PA,17407,1050,69343
PA,17406,12140,708019
PA,17404,18270,1017073
PA,17403,17910,1204758
PA,17402,17180,1179771
PA,17401,7940,194627
PA,17372,2100,118034
PA,17370,3020,159606
PA,17368,3790,221013
PA,17366,2710,130932
PA,17365,1350,83959
PA,17364,1900,92930
PA,17363,4760,316135
PA,17362,6820,413269
PA,17361,2990,199465
PA,17360,2860,206519
PA,17356,11440,630010
PA,17353,1510,87290
PA,17352,630,38082
PA,17350,6430,339854
PA,17349,4100,328299
PA,17347,3060,187895
PA,17345,3940,183135
PA,17344,1830,72882
PA,17340,5540,314022
PA,17339,3560,303276
PA,17331,27020,1599313
PA,17329,1290,90129
PA,17327,3750,240707
PA,17325,13000,828436
PA,17324,2180,110666
PA,17322,2910,164280
PA,17321,1120,70906
PA,17320,4020,260956
PA,17319,5530,342937
PA,17316,4260,256436
PA,17315,12900,694634
PA,17314,2740,151923
PA,17313,5240,286408
PA,17309,1000,51055
PA,17307,2680,138099
PA,17304,1490,77663
PA,17302,1350,71506
PA,17301,2090,118758
PA,17271,190,9150
PA,17268,14060,729748
PA,17267,1310,63770
PA,17266,310,13431
PA,17265,220,9968
PA,17264,1070,48377
PA,17262,460,19770
PA,17260,530,22219
PA,17257,12040,612735
PA,17255,480,23251
PA,17252,1870,88458
PA,17246,110,5389
PA,17244,1130,54944
PA,17243,590,28372
PA,17241,5940,294273
PA,17240,1550,78992
PA,17239,100,4976
PA,17238,880,42516
PA,17237,830,35839
PA,17236,4140,224829
PA,17233,2460,115357
PA,17229,620,26827
PA,17228,490,22642
PA,17225,9710,578441
PA,17224,890,42304
PA,17223,120,5220
PA,17222,5560,306766
PA,17221,290,12636
PA,17220,240,10895
PA,17219,150,6880
PA,17215,160,6331
PA,17214,610,32159
PA,17213,260,11925
PA,17212,300,16251
