Stn ID,Average AGI,Connectors,Nearest Zip Distance,Stn Lat,Stn Lng,Stn State,Zip Code,formatted_agi
75608.0,144113.3,2.0,,40.105554,-75.12191899999999,PA,19046,"$144,113.30"
75614.0,74739.44,2.0,,40.311431,-111.681877,UT,84097,"$74,739.44"
75615.0,53832.36,2.0,,33.840084999999995,-83.901753,GA,30052,"$53,832.36"
75616.0,39301.4,1.0,,36.595796,-79.400402,VA,24540,"$39,301.40"
75617.0,47532.02,1.0,,36.801673,-80.37099599999999,VA,24091,"$47,532.02"
75618.0,58404.43,2.0,,39.152172,-78.186911,VA,22601,"$58,404.43"
75619.0,58404.43,1.0,,39.162417,-78.182466,VA,22601,"$58,404.43"
75620.0,103052.06,2.0,,38.035961,-78.487971,VA,22903,"$103,052.06"
75623.0,57413.47,2.0,,38.916118,-78.19393199999999,VA,22630,"$57,413.47"
75625.0,104068.42,2.0,,39.110609000000004,-77.83243900000001,VA,20135,"$104,068.42"
75629.0,144241.86,2.0,,35.05385,-85.31132,TN,37402,"$144,241.86"
75630.0,87806.21,6.0,,35.061442,-85.306568,TN,37405,"$87,806.21"
75631.0,87806.21,2.0,,35.0626183,-85.3051762,TN,37405,"$87,806.21"
75634.0,574453.76,6.0,,34.067383,-118.391745,CA,90210,"$574,453.76"
75639.0,74737.71,18.0,,45.5337,-122.668769,OR,97202,"$74,737.71"
75640.0,69348.55,1.0,,46.971813,-122.888172,WA,98501,"$69,348.55"
75641.0,164609.43,4.0,,45.519169,-122.67576100000001,OR,97204,"$164,609.43"
75642.0,82781.46,3.0,,34.16019,-118.330252,CA,91505,"$82,781.46"
75643.0,40758.52,2.0,,33.653188,-84.2557316,GA,30294,"$40,758.52"
75648.0,47460.4,12.0,,34.093647,-118.34365,CA,90038,"$47,460.40"
75649.0,58166.12,2.0,,43.082086600000004,-89.3756865,WI,53703,"$58,166.12"
75650.0,63368.01,2.0,,43.312964,-91.8025015,IA,52101,"$63,368.01"
75651.0,105956.38,2.0,,44.4710719,-72.7346084,VT,05672,"$105,956.38"
75652.0,159283.51,2.0,,39.6173525,-104.89423559999999,CO,80111,"$159,283.51"
75653.0,82949.13,2.0,,41.313117999999996,-96.3456613,NE,68064,"$82,949.13"
75654.0,50210.0,2.0,,43.8693919,-74.4318122,NY,12812,"$50,210.00"
75655.0,118949.17,4.0,,25.750246,-80.259121,FL,33134,"$118,949.17"
75656.0,118949.17,2.0,,25.748628,-80.2616072,FL,33134,"$118,949.17"
75657.0,118949.17,4.0,,25.75046,-80.256522,FL,33134,"$118,949.17"
75667.0,227342.99,2.0,,27.969656699999998,-82.83013759999999,FL,33767,"$227,342.99"
75668.0,35400.08,4.0,,42.111447999999996,-86.466088,MI,49022,"$35,400.08"
75669.0,35400.08,4.0,,42.112292,-86.466335,MI,49022,"$35,400.08"
75670.0,35400.08,2.0,,42.1122037,-86.4673358,MI,49022,"$35,400.08"
75671.0,144241.86,2.0,,35.0380309,-85.3071561,TN,37402,"$144,241.86"
75672.0,120616.36,4.0,,27.947267,-82.456024,FL,33602,"$120,616.36"
75676.0,141618.78,1.0,,28.567918900000002,-81.3257032,FL,32814,"$141,618.78"
75677.0,32322.84,1.0,,29.355528200000002,-98.5234595,TX,78221,"$32,322.84"
75678.0,32912.33,1.0,,29.393264000000002,-98.48919509999999,TX,78210,"$32,912.33"
75681.0,105830.78,4.0,,33.634267,-111.92875900000001,AZ,85254,"$105,830.78"
75682.0,92981.43,2.0,,42.3583641,-71.1046697,MA,02139,"$92,981.43"
75683.0,66165.66,4.0,,35.348240999999994,-80.685873,NC,28027,"$66,165.66"
75684.0,147281.04,3.0,,28.369981300000003,-81.515846,FL,32836,"$147,281.04"
75686.0,104871.36,1.0,,39.9617983,-75.6047401,PA,19380,"$104,871.36"
75687.0,123172.02,2.0,,39.9089776,-75.5690332,PA,19382,"$123,172.02"
75690.0,67494.01,2.0,0.8455145592512869,34.235503,-118.527753,CA,91330,"$67,494.01"
75692.0,45022.73,3.0,,34.1827,-117.32399699999999,CA,92407,"$45,022.73"
75693.0,67953.2,2.0,,37.524248,-120.851941,CA,95382,"$67,953.20"
75694.0,67953.2,2.0,,37.522490999999995,-120.85554499999999,CA,95382,"$67,953.20"
75695.0,115944.14,1.0,,38.8828742,-77.11433240000001,VA,22201,"$115,944.14"
75696.0,44768.83,2.0,,35.0095341,-85.32844200000001,TN,37409,"$44,768.83"
75697.0,124470.69,4.0,,33.867498,-84.471797,GA,30339,"$124,470.69"
75700.0,130125.42,2.0,,34.089085600000004,-84.23991290000001,GA,30005,"$130,125.42"
75701.0,51271.07,2.0,,42.4162807,-96.41895809999998,NE,68731,"$51,271.07"
75702.0,36820.0,6.0,,39.129487299999994,-94.5115326,MO,64120,"$36,820.00"
75703.0,95190.14,2.0,,38.3145253,-123.04354209999998,CA,94923,"$95,190.14"
75704.0,92157.68,4.0,,38.434422,-122.700861,CA,95404,"$92,157.68"
75705.0,44195.43,2.0,,38.4221115,-122.74874109999999,CA,95407,"$44,195.43"
75706.0,74898.51,4.0,,38.464585,-122.726468,CA,95403,"$74,898.51"
75707.0,74898.51,6.0,,38.461426,-122.72513300000001,CA,95403,"$74,898.51"
75719.0,51980.56,1.0,,34.729799,-82.389422,SC,29673,"$51,980.56"
75720.0,83908.61,2.0,,37.479921000000004,-121.947406,CA,94538,"$83,908.61"
75721.0,83908.61,4.0,,37.48102,-121.94519299999999,CA,94538,"$83,908.61"
75722.0,83908.61,2.0,,37.475638000000004,-121.94094,CA,94538,"$83,908.61"
75725.0,40605.61,3.0,,44.071705,-111.448094,ID,83420,"$40,605.61"
75726.0,53258.05,2.0,,45.925284000000005,-116.12851200000001,ID,83530,"$53,258.05"
75727.0,45287.42,2.0,,29.971379,-90.096813,LA,70119,"$45,287.42"
75729.0,123588.16,1.0,,43.433639,-71.969756,NH,03257,"$123,588.16"
75730.0,76158.0,1.0,,43.730468,-71.579948,NH,03245,"$76,158.00"
75731.0,56863.52,2.0,,44.041315999999995,-71.124169,NH,03860,"$56,863.52"
75733.0,50944.3,2.0,,43.447070000000004,-93.352462,IA,50459,"$50,944.30"
75734.0,105956.38,2.0,,44.495788,-72.738731,VT,05672,"$105,956.38"
75735.0,365004.99,1.0,,38.648267,-90.330952,MO,63105,"$365,004.99"
75736.0,108538.89,2.0,,47.605051,-122.336105,WA,98104,"$108,538.89"
75737.0,39239.39,1.0,,44.857402,-70.376407,ME,04966,"$39,239.39"
75738.0,48818.18,2.0,,44.973667,-70.64642099999999,ME,04970,"$48,818.18"
75739.0,97328.0,2.0,,39.577386,-84.228923,OH,45066,"$97,328.00"
75740.0,52838.57,2.0,8.08698973240625,45.2023257,-123.9669549,OR,97134,"$52,838.57"
